id,startup_id,dimensao,score
1,1,Grupo 1 - Performance Técnica,4.0
2,1,Grupo 2 - Viabilidade Econômica,3.6
3,1,Grupo 3 - Confiabilidade,4.0
4,1,Grupo 4 - Usabilidade,4.2
5,1,Grupo 5 - Eficiência Energética,4.4
6,1,Grupo 6 - Robustez Física,3.4
7,1,Grupo 7 - Conectividade,3.8
8,1,Grupo 8 - Sustentabilidade,3.8
9,2,Grupo 1 - Performance Técnica,4.2
10,2,Grupo 2 - Viabilidade Econômica,4.0
11,2,Grupo 3 - Confiabilidade,4.2
12,2,Grupo 4 - Usabilidade,4.6
13,2,Grupo 5 - Eficiência Energética,4.4
14,2,Grupo 6 - Robustez Física,4.2
15,2,Grupo 7 - Conectividade,3.6
16,2,Grupo 8 - Sustentabilidade,3.6
17,3,Grupo 1 - Performance Técnica,2.2
18,3,Grupo 2 - Viabilidade Econômica,2.0
19,3,Grupo 3 - Confiabilidade,2.6
20,3,Grupo 4 - Usabilidade,1.8
21,3,Grupo 5 - Eficiência Energética,1.8
22,3,Grupo 6 - Robustez Física,2.2
23,3,Grupo 7 - Conectividade,1.6
24,3,Grupo 8 - Sustentabilidade,2.0
25,4,Grupo 1 - Performance Técnica,3.8
26,4,Grupo 2 - Viabilidade Econômica,3.6
27,4,Grupo 3 - Confiabilidade,3.2
28,4,Grupo 4 - Usabilidade,4.4
29,4,Grupo 5 - Eficiência Energética,3.6
30,4,Grupo 6 - Robustez Física,4.4
31,4,Grupo 7 - Conectividade,3.6
32,4,Grupo 8 - Sustentabilidade,3.8
33,5,Grupo 1 - Performance Técnica,3.8
34,5,Grupo 2 - Viabilidade Econômica,3.8
35,5,Grupo 3 - Confiabilidade,3.6
36,5,Grupo 4 - Usabilidade,4.4
37,5,Grupo 5 - Eficiência Energética,5.0
38,5,Grupo 6 - Robustez Física,4.0
39,5,Grupo 7 - Conectividade,3.4
40,5,Grupo 8 - Sustentabilidade,4.0
41,6,Grupo 1 - Performance Técnica,1.4
42,6,Grupo 2 - Viabilidade Econômica,1.8
43,6,Grupo 3 - Confiabilidade,3.0
44,6,Grupo 4 - Usabilidade,1.8
45,6,Grupo 5 - Eficiência Energética,1.8
46,6,Grupo 6 - Robustez Física,1.8
47,6,Grupo 7 - Conectividade,2.0
48,6,Grupo 8 - Sustentabilidade,2.6
49,7,Grupo 1 - Performance Técnica,4.0
50,7,Grupo 2 - Viabilidade Econômica,3.8
51,7,Grupo 3 - Confiabilidade,4.2
52,7,Grupo 4 - Usabilidade,4.2
53,7,Grupo 5 - Eficiência Energética,4.0
54,7,Grupo 6 - Robustez Física,4.0
55,7,Grupo 7 - Conectividade,4.2
56,7,Grupo 8 - Sustentabilidade,3.8
57,8,Grupo 1 - Performance Técnica,3.8
58,8,Grupo 2 - Viabilidade Econômica,4.4
59,8,Grupo 3 - Confiabilidade,3.4
60,8,Grupo 4 - Usabilidade,3.6
61,8,Grupo 5 - Eficiência Energética,4.0
62,8,Grupo 6 - Robustez Física,4.0
63,8,Grupo 7 - Conectividade,4.0
64,8,Grupo 8 - Sustentabilidade,4.0
65,9,Grupo 1 - Performance Técnica,4.2
66,9,Grupo 2 - Viabilidade Econômica,3.8
67,9,Grupo 3 - Confiabilidade,4.2
68,9,Grupo 4 - Usabilidade,3.8
69,9,Grupo 5 - Eficiência Energética,4.0
70,9,Grupo 6 - Robustez Física,4.0
71,9,Grupo 7 - Conectividade,4.2
72,9,Grupo 8 - Sustentabilidade,3.6
73,10,Grupo 1 - Performance Técnica,2.0
74,10,Grupo 2 - Viabilidade Econômica,1.8
75,10,Grupo 3 - Confiabilidade,2.2
76,10,Grupo 4 - Usabilidade,2.0
77,10,Grupo 5 - Eficiência Energética,1.8
